,True_Class,Pred_Class,C2,noise_level,experiment,fd_order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,Correct_Classification
26,non unique,non unique,0.3125401669095763,1e-07,linear_nonunique_1,6.0,9.718513608793974e-07,6.448644159029682e-05,6.616399224902944e-05,6.540296246631304e-06,1.5079257565107457e-06,2731.795753977342,0.002654899421147439,1562.7008345478814,4688.102503643644,True
27,non unique,non unique,0.3125401669095763,1e-07,linear_nonunique_1,8.0,1.1131891169315341e-06,6.44873912016713e-05,6.60963782284217e-05,6.537447552745526e-06,1.7107551668860646e-06,2554.470813414124,0.0028436091090118464,1562.7008345478814,4688.102503643644,True
28,non unique,non unique,0.3125401669095763,1e-07,linear_nonunique_1,10.0,1.2438926805790692e-06,6.448739547994345e-05,6.604203865498094e-05,6.537434718560896e-06,1.8737637990920274e-06,2388.656301124243,0.002971232089387519,1562.7008345478814,4688.102503643644,True
29,non unique,non unique,0.3125401669095763,1e-07,linear_nonunique_1,12.0,1.3713492145241968e-06,6.44873954992141e-05,6.59967313607554e-05,6.537434660751801e-06,2.0096773246606983e-06,2233.60505095265,0.003063052532181195,1562.7008345478814,4688.102503643644,True
30,non unique,,0.31254016803325707,1e-06,linear_nonunique_1,2.0,5.625006709907138e-06,5.09977094029145e-05,0.0,4.700668419521323e-05,0.0008809706155567076,3125.401680332571,0.017580405423025754,1562.7008401662854,4688.102520498856,False
31,non unique,non unique,0.31254016803325707,1e-06,linear_nonunique_1,4.0,8.014206182117596e-06,6.0226463152441464e-05,6.287839711958245e-05,1.9319820248956037e-05,1.1364223229333828e-05,2921.429105939006,0.023412935201434663,1562.7008401662854,4688.102520498856,True
32,non unique,non unique,0.31254016803325707,1e-06,linear_nonunique_1,6.0,9.690123087519676e-06,6.029821716842108e-05,6.236828727948449e-05,1.9104561523042855e-05,1.2894500230013877e-05,2731.795783654523,0.026471437393579596,1562.7008401662854,4688.102520498856,True
33,non unique,non unique,0.31254016803325707,1e-06,linear_nonunique_1,8.0,1.1091189209940177e-05,6.0298542199254845e-05,6.178999185562811e-05,1.910358644587077e-05,1.4629334514176584e-05,2554.470790762469,0.028332118871612046,1562.7008401662854,4688.102520498856,True
34,non unique,non unique,0.31254016803325707,1e-06,linear_nonunique_1,10.0,1.2387758460309742e-05,6.029854366332928e-05,6.132660332710232e-05,1.9103582053716507e-05,1.6019464234225433e-05,2388.65634672611,0.02959009786792893,1562.7008401662854,4688.102520498856,True
35,non unique,non unique,0.31254016803325707,1e-06,linear_nonunique_1,12.0,1.3639569489916722e-05,6.029854366992392e-05,6.094016501377402e-05,1.9103582033932918e-05,1.7178753205098766e-05,2233.605065766537,0.03046541150755269,1562.7008401662854,4688.102520498856,True
