,True_Class,Pred_Class,C2,noise_level,fd_order,experiment,Correct_Classification
14,unique,unique,0.5,1e-07,8,analytic_unique_2,True
15,unique,unique,0.5,1e-06,8,analytic_unique_2,True
16,unique,,0.5,1e-05,8,analytic_unique_2,False
17,unique,,0.5,0.0001,8,analytic_unique_2,False
18,unique,,0.5,0.001,8,analytic_unique_2,False
19,unique,,0.5,0.01,8,analytic_unique_2,False
20,unique,unique,0.25,0.0,8,analytic_unique_2,True
21,unique,unique,0.25,1e-10,8,analytic_unique_2,True
22,unique,unique,0.25,1e-09,8,analytic_unique_2,True
23,unique,unique,0.25,1e-08,8,analytic_unique_2,True
24,unique,unique,0.25,1e-07,8,analytic_unique_2,True
25,unique,unique,0.25,1e-06,8,analytic_unique_2,True
26,unique,,0.25,1e-05,8,analytic_unique_2,False
27,unique,,0.25,0.0001,8,analytic_unique_2,False
28,unique,,0.25,0.001,8,analytic_unique_2,False
29,unique,,0.25,0.01,8,analytic_unique_2,False
30,unique,unique,0.1,0.0,8,analytic_unique_2,True
31,unique,unique,0.1,1e-10,8,analytic_unique_2,True
32,unique,unique,0.1,1e-09,8,analytic_unique_2,True
33,unique,unique,0.1,1e-08,8,analytic_unique_2,True
34,unique,unique,0.1,1e-07,8,analytic_unique_2,True
35,unique,unique,0.1,1e-06,8,analytic_unique_2,True
36,unique,,0.1,1e-05,8,analytic_unique_2,False
37,unique,,0.1,0.0001,8,analytic_unique_2,False
38,unique,,0.1,0.001,8,analytic_unique_2,False
39,unique,,0.1,0.01,8,analytic_unique_2,False
40,unique,unique,0.01,0.0,8,analytic_unique_2,True
41,unique,unique,0.01,1e-10,8,analytic_unique_2,True
42,unique,unique,0.01,1e-09,8,analytic_unique_2,True
43,unique,unique,0.01,1e-08,8,analytic_unique_2,True
44,unique,unique,0.01,1e-07,8,analytic_unique_2,True
45,unique,unique,0.01,1e-06,8,analytic_unique_2,True
46,unique,,0.01,1e-05,8,analytic_unique_2,False
47,unique,,0.01,0.0001,8,analytic_unique_2,False
48,unique,,0.01,0.001,8,analytic_unique_2,False
49,unique,,0.01,0.01,8,analytic_unique_2,False
50,unique,unique,0.001,0.0,8,analytic_unique_2,True
51,unique,unique,0.001,1e-10,8,analytic_unique_2,True
52,unique,unique,0.001,1e-09,8,analytic_unique_2,True
53,unique,unique,0.001,1e-08,8,analytic_unique_2,True
